session_key,driver_number,lap_number,duration
9979,22,1,24.525
9979,10,1,24.376
9979,87,1,50.191
9979,5,1,37.243
9979,27,12,24.065
9979,43,13,24.355
9979,6,14,24.311
9979,14,16,25.375
9979,31,16,25.575
9979,18,17,23.978
9979,87,17,24.58
9979,44,18,23.565
9979,4,19,24.545
9979,6,19,24.031
9979,81,20,25.756
9979,16,22,23.576
9979,5,26,24.483
9979,43,26,24.497
9979,1,28,24.114
9979,31,28,24.773
9979,30,31,24.206
9979,23,32,23.927
9979,5,35,24.246
9979,30,40,24.32
9979,23,40,24.19
9979,27,44,24.397
9979,81,48,23.908
9979,16,49,23.678
9979,55,48,24.498
9979,4,50,23.704
9979,55,53,24.049
9979,63,53,19.4
9979,44,56,24.256
9979,63,62,25.063
9979,18,64,25.916
9979,63,68,24.025
9979,12,69,24.457
9979,12,71,24.837
9979,22,73,24.086
9979,1,77,23.95
9971,23,6,30.823
9971,87,8,22.009
9971,22,8,21.868
9971,27,9,22.233
9971,55,9,30.547
9971,10,10,22.224
9971,1,13,21.869
9971,43,14,22.491
9971,14,15,22.782
9971,44,16,21.957
9971,16,17,21.863
9971,30,18,22.039
9971,6,19,21.769
9971,5,19,22.041
9971,63,20,21.739
9971,31,20,22.554
9971,4,21,22.454
9971,12,21,22.234
9971,81,22,21.858
9971,22,24,22.056
9971,23,26,37.674
9971,1,29,21.933
9971,10,31,22.006
9971,55,34,22.346
9971,87,35,22.27
9971,16,40,21.893
9971,43,39,22.119
9971,63,41,21.752
9971,14,42,22.242
9971,31,43,22.468
9971,30,44,22.127
9971,22,44,21.822
9971,27,45,21.849
9971,44,46,24.416
9971,1,47,21.802
9971,4,48,21.863
9971,6,48,22.019
9971,81,49,21.838
9971,12,49,23.457
9971,5,49,22.953
9971,81,55,22.748
9971,4,55,23.562
9971,1,55,22.197
9971,14,54,22.216
9971,87,54,22.765
9971,22,54,22.283
9971,16,55,22.383
9971,63,55,23.167
9971,44,55,22.83
9971,43,54,21.874
9971,6,55,21.841
9971,10,55,22.818
9971,55,55,21.984
9971,27,56,21.904
9963,1,12,23.604
9963,63,13,23.231
9963,6,13,24.13
9963,12,14,23.32
9963,43,14,24.735
9963,44,15,23.604
9963,14,15,24.021
9963,81,16,23.245
9963,87,18,23.562
9963,27,19,23.476
9963,23,23,23.898
9963,18,24,23.742
9963,16,28,23.36
9963,4,29,23.223
9963,1,37,23.121
9963,12,38,23.416
9963,30,38,23.28
9963,63,42,24.262
9963,81,45,23.174
9963,44,45,23.338
9963,4,47,23.471
9963,5,49,23.715
9963,14,50,23.409
9963,18,51,34.742
9963,16,53,23.859
9963,10,53,23.987
9963,22,56,25.178
9963,31,57,24.452
9963,55,57,23.269
9963,14,66,18.2
9963,27,66,18.2
9963,63,67,18.2
9963,1,67,18.2
9963,12,67,18.2
9963,31,66,18.2
9963,55,66,18.2
9963,81,67,26.385
9963,16,67,18.3
9963,87,66,27.985
9963,22,66,18.2
9963,43,66,18.1
9963,5,66,18.2
9963,10,66,18.2
9963,6,66,23.693
9963,18,66,23.772
9963,44,67,18.2
9963,14,67,18.1
9963,27,67,18.2
9963,63,68,19.4
9963,1,68,19.2
9963,12,68,18.9
9963,31,67,18.2
9963,55,67,18.1
9963,81,68,18.2
9963,16,68,18.2
9963,87,67,18.2
9963,22,67,18.2
9963,43,67,18.1
9963,5,67,18.2
9963,10,67,18.2
9963,6,67,18.2
9963,18,67,18.2
9963,44,68,18.2
9963,14,68,18.2
9963,27,68,18.3
9963,63,69,18.2
9963,1,69,18.3
9963,12,69,18.2
9963,31,68,18.2
9963,55,68,18.1
9963,81,69,18.2
9963,16,69,18.2
9963,87,68,18.2
9963,22,68,18.2
9963,43,68,18.1
9963,5,68,18.2
9963,10,68,18.2
9963,6,68,18.2
9963,18,68,18.2
9963,44,69,18.2
9963,14,69,18.2
9963,27,69,18.3
9955,6,2,21.297
9955,87,11,21.91
9955,10,12,21.959
9955,27,12,21.236
9955,23,13,21.21
9955,43,13,23.038
9955,63,18,21.344
9955,22,18,21.492
9955,31,19,23.188
9955,4,20,22.131
9955,5,21,21.676
9955,81,24,22.599
9955,16,25,21.308
9955,44,26,21.287
9955,18,26,22.907
9955,6,28,21.68
9955,22,30,30.0
9955,30,32,21.434
9955,14,33,21.865
9955,10,38,22.105
9955,87,39,21.771
9955,43,39,21.087
9955,27,42,21.045
9955,63,45,21.854
9955,16,49,21.536
9955,5,49,21.286
9955,44,50,21.158
9955,31,50,22.284
9955,4,52,21.427
9955,81,53,21.033
9955,18,53,21.763
9955,22,60,32.643
9947,12,2,28.721
9947,18,6,29.125
9947,27,9,29.736
9947,12,9,28.707
9947,18,10,28.853
9947,63,10,28.647
9947,16,10,29.089
9947,6,10,28.523
9947,87,10,29.201
9947,81,11,29.491
9947,1,11,28.182
9947,4,11,30.63
9947,44,11,28.917
9947,10,11,28.912
9947,14,11,28.707
9947,55,11,29.554
9947,22,11,28.544
9947,23,12,29.251
9947,31,18,29.562
9947,12,20,29.728
9947,14,37,28.534
9947,63,38,28.205
9947,44,41,29.127
9947,18,41,28.5
9947,1,41,29.6
9947,10,41,28.4
9947,55,41,28.6
9947,87,41,29.0
9947,22,41,40.1
9947,27,42,29.952
9947,16,42,28.84
9947,23,42,29.2
9947,31,42,28.646
9947,81,43,40.28
9947,4,44,28.214
9939,44,11,23.284
9939,27,11,23.599
9939,10,11,26.825
9939,14,11,23.404
9939,81,12,23.844
9939,16,12,23.806
9939,1,12,25.913
9939,63,12,23.635
9939,23,12,24.029
9939,30,12,23.269
9939,5,12,23.274
9939,87,12,24.13
9939,43,12,23.665
9939,12,12,23.609
9939,18,12,23.787
9939,55,12,27.528
9939,4,13,24.376
9939,22,13,23.33
9939,6,13,23.58
9939,31,13,23.802
9939,6,20,23.376
9939,55,26,23.77
9939,43,28,23.449
9939,14,29,23.692
9939,12,30,23.059
9939,27,32,23.89
9928,27,5,21.5
9928,43,13,30.248
9928,23,14,21.345
9928,31,14,22.444
9928,55,15,21.67
9928,1,17,21.433
9928,81,18,21.145
9928,16,19,21.13
9928,63,19,21.703
9928,22,20,21.295
9928,12,21,22.328
9928,87,30,21.754
9928,4,31,20.94
9928,10,32,21.699
9928,6,33,21.096
9928,43,35,26.28
9928,18,36,21.464
9928,22,37,21.541
9928,23,38,22.726
9928,14,39,22.204
9928,16,40,21.136
9928,5,40,21.773
9928,30,40,22.136
9928,27,41,28.7
9928,44,42,21.15
9928,63,43,21.45
9928,81,45,20.94
9928,1,48,21.258
9928,55,51,21.423
9920,18,8,17.561
9920,14,18,17.417
9920,22,19,18.348
9920,43,19,17.986
9920,27,19,17.602
9920,16,22,17.081
9920,5,22,17.908
9920,81,23,17.375
9920,4,23,20.042
9920,1,23,18.74
9920,6,23,17.414
9920,63,23,18.832
9920,30,23,17.549
9920,55,23,17.67
9920,23,23,19.692
9920,12,23,17.476
9920,10,23,19.223
9920,30,27,22.209
9920,55,27,29.443
9920,14,40,17.949
9920,12,51,17.365
9920,16,52,17.042
9920,55,51,30.34
9920,18,52,17.598
9920,31,52,18.27
9920,81,53,18.589
9920,4,53,22.608
9920,1,53,18.261
9920,6,53,18.535
9920,63,53,17.344
9920,23,53,17.84
9920,30,52,18.552
9920,12,53,21.3
9920,87,53,18.622
9920,22,53,18.147
9920,43,53,17.586
9920,27,53,17.944
9920,5,60,17.491
9920,43,65,18.077
9920,55,65,18.043
9912,30,9,24.156
9912,87,18,25.372
9912,22,19,24.372
9912,14,20,25.16
